prob,alg,cost,ok,retcode,nsteps,t_ms
tp288,Dogleg (old default),2.054190827971919e-17,true,Success,16,0.141509
tp288,Moré (new default),2.1819568721264478e-17,true,Success,16,0.798804
tp290,Dogleg (old default),4.303697117470437e-17,true,Success,15,0.101519
tp290,Moré (new default),6.761901520008204e-18,true,Success,15,0.13252899999999998
tp291,Dogleg (old default),3.578116882757432e-17,true,Success,33,0.221899
tp291,Moré (new default),3.578116882757432e-17,true,Success,33,0.6826650000000001
tp292,Dogleg (old default),3.6637618600942404e-16,true,StalledSuccess,141,1.0269229999999998
tp292,Moré (new default),4.2633180166945937e-16,true,StalledSuccess,135,26.371684
tp293,Dogleg (old default),4.133353102027498e-16,true,StalledSuccess,227,3.953811
tp293,Moré (new default),4.2872244637400306e-16,true,StalledSuccess,222,97.021359
tp294,Dogleg (old default),8.963181995263e-22,true,Success,18,0.216638
tp294,Moré (new default),0.0,true,Success,28,1.031233
tp295,Dogleg (old default),2.5989269041539115e-29,true,Success,32,0.614146
tp295,Moré (new default),6.89783926418e-22,true,Success,36,2.6453100000000003
tp296,Dogleg (old default),6.154624060704385e-19,true,Success,41,1.253461
tp296,Moré (new default),3.490037556965398e-23,true,Success,59,7.5635140000000005
tp297,Dogleg (old default),4.503406745298894e-22,true,Success,66,5.263571
tp297,Moré (new default),1.39643444257731e-21,true,Success,48,13.611699
tp298,Dogleg (old default),8.376696461152978e-18,true,Success,92,16.743506
tp298,Moré (new default),6.003773688239498e-23,true,Success,72,49.581051
tp299,Dogleg (old default),1.950222722427587e-21,true,Success,138,111.721349
tp299,Moré (new default),1.6466626168914087e-20,true,Success,126,409.139258
tp303,Dogleg (old default),6.995483267814452e-19,true,Success,12,0.324108
tp303,Moré (new default),6.995483267814339e-19,true,Success,12,0.608775
tp304,Dogleg (old default),4.674426019553438e-19,true,Success,12,1.29254
tp304,Moré (new default),4.67442601955334e-19,true,Success,12,2.328883
tp305,Dogleg (old default),2.3139208496809677e-19,true,Success,14,5.487248999999999
tp305,Moré (new default),2.3139208496814886e-19,true,Success,14,10.449592
tp308,Dogleg (old default),0.3865995282464618,true,StalledSuccess,94,0.34410799999999997
tp308,Moré (new default),0.3865995282464619,true,StalledSuccess,82,1.0347220000000001
tp311,Dogleg (old default),0.0,true,Success,6,0.03574
tp311,Moré (new default),3.2111361437190377e-22,true,Success,5,0.07054
tp312,Dogleg (old default),2.9612813806220117,true,StalledSuccess,67,0.11608900000000001
tp312,Moré (new default),2.961281380622012,true,StalledSuccess,66,1.2486000000000002
tp333,Dogleg (old default),1.3138349458459584,false,MaxIters,400,3.274436
tp333,Moré (new default),0.021635177018515542,true,StalledSuccess,41,1.0158019999999999
tp334,Dogleg (old default),0.004107438653289481,true,StalledSuccess,38,0.231878
tp334,Moré (new default),0.00410743865328948,true,StalledSuccess,38,1.171701
tp350,Dogleg (old default),0.00015375280192461867,true,StalledSuccess,68,0.589326
tp350,Moré (new default),0.00015375280192461832,true,StalledSuccess,68,1.7620870000000002
tp351,Dogleg (old default),159.28587439556154,true,StalledSuccess,58,0.442326
tp351,Moré (new default),159.2858743955614,true,StalledSuccess,49,1.420829
tp352,Dogleg (old default),451.6171658982095,true,StalledSuccess,35,0.132249
tp352,Moré (new default),451.6171658982095,true,StalledSuccess,34,0.953642
tp370,Dogleg (old default),0.0011438350267761633,true,StalledSuccess,43,1.638077
tp370,Moré (new default),0.0011438350267761683,true,StalledSuccess,41,3.392014
tp371,Dogleg (old default),6.998800690489602e-7,true,StalledSuccess,39,1.841656
tp371,Moré (new default),6.998800690493614e-7,true,StalledSuccess,38,4.942633
tp379,Dogleg (old default),0.02006886814677384,true,StalledSuccess,48,2.5726009999999997
tp379,Moré (new default),0.020068868146773843,true,StalledSuccess,50,8.675626000000001
